dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,two_qubit_error,circuit_depth,total_gates,two_qubit_gates,component_count,aggregate_circuit_depth,aggregate_total_gates,aggregate_two_qubit_gates,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_median,accuracy_min,accuracy_max,f1_mean,f1_std,mcc_mean,mcc_std,avg_kernel_time,kernel_time_std,avg_classifier_time,classifier_time_std,avg_time,time_std,kernel_fraction_of_total,classifier_fraction_of_total,n_runs,num_qubits
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.002,0.006,25,54,20,1,25,54,20,0.8446666666666667,0.013636776958788859,0.005092056202013218,0.8426666666666667,0.8273333333333334,0.884,0.8464788252921036,0.012006741820226482,0.683983689588415,0.021713790016417163,86.86037855738154,3.8825324392365275,0.7337419734336436,0.6273437555842307,87.59412053081518,3.3908787953256065,0.9916233878599705,0.008376612140029613,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.005,0.015,25,54,20,1,25,54,20,0.8460444444444446,0.013897195983151601,0.005189298263838823,0.8426666666666667,0.8246666666666667,0.8773333333333333,0.8477077259846382,0.011994879868678577,0.6867930425657829,0.020020771938590216,87.3878088530153,5.1388676958845725,0.6717013954805832,0.574302345665057,88.05951024849588,4.783299160703385,0.992372187926266,0.007627812073734038,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.008,0.024,25,54,20,1,25,54,20,0.8459333333333333,0.014087139865087741,0.005260224474993434,0.8413333333333334,0.8246666666666667,0.882,0.8477103081097628,0.012370488877135578,0.686370585184281,0.020932812234403415,86.30291410901894,5.5787311515767115,0.7185604454483837,0.5955460874879229,87.02147455446733,5.142223429933639,0.991742722711523,0.008257277288477017,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.01,0.03,25,54,20,1,25,54,20,0.8469555555555556,0.015520282943004195,0.00579536889513983,0.843,0.826,0.8833333333333333,0.8485555694330298,0.013537092495031797,0.6875465724949023,0.02337810588020233,87.77989447635288,3.610763432040758,0.7422198973285655,0.5531163260573728,88.52211437368145,3.198746331906269,0.9916154296293082,0.00838457037069186,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.02,0.06,25,54,20,1,25,54,20,0.8441555555555557,0.014900624413703708,0.005563984597604529,0.84,0.8226666666666667,0.8793333333333333,0.84585257155722,0.012786996990097829,0.6845324708747836,0.0226729460961917,87.54712597488736,4.287556565355731,0.7086778695074221,0.6743966926615307,88.25580384439478,3.8473971322674707,0.9919701839580217,0.008029816041978423,30,6
UNSW_NB15,6q_5k,QSVC,linear,0,L0,baseline_unoptimized,0.05,0.15000000000000002,25,54,20,1,25,54,20,0.8605777777777778,0.013488446406548237,0.0050366686635378525,0.8643333333333334,0.808,0.874,0.8555743438263052,0.011494824486709828,0.7001231739050172,0.026488532390423526,86.16864091524234,6.070609091273889,0.6746868480462581,0.6770934647866463,86.8433277632886,5.4609318045984585,0.9922309880859785,0.007769011914021441,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.0,0.0,25,54,20,1,25,54,20,0.8478444444444444,0.01589880193402699,0.0059367102092672255,0.8446666666666667,0.8266666666666667,0.886,0.8492220410830006,0.013829418240757355,0.6889364856503966,0.02462068266299103,154.93244293974712,5.622420008022102,0.7589748102550705,0.8252657957406982,155.6914177500022,4.907451077704963,0.9951251339269466,0.004874866073053406,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.0003,0.0009,25,54,20,1,25,54,20,0.8458222222222224,0.013968693330404108,0.005215995812064834,0.8423333333333334,0.8266666666666667,0.884,0.8476124763793637,0.012447585577138294,0.6857529113305438,0.021801536931440154,86.53163773089958,5.494793068938183,0.7271804678874711,0.5475778491960409,87.25881819878705,5.171444634488999,0.9916663956388813,0.008333604361118649,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.0005,0.0015,25,54,20,1,25,54,20,0.8461111111111113,0.01550684766138363,0.005790352078533638,0.8420000000000001,0.826,0.884,0.8476649865458323,0.013383713279397913,0.6867658547284022,0.023483861899679142,85.35070828339084,7.693341070180683,0.6794486199660847,0.6010488648403736,86.03015690335694,7.349095136249703,0.9921022041058305,0.007897795894169436,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.001,0.003,25,54,20,1,25,54,20,0.8467555555555556,0.015569626914212324,0.0058137942368009605,0.8423333333333334,0.826,0.8853333333333333,0.8482656805064495,0.013431232664394574,0.6878423451782311,0.024047211769942213,86.55422312708882,5.588010681657414,0.6950822609942406,0.6392495947153537,87.24930538808306,5.11602985718236,0.9920333777111172,0.007966622288882754,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.002,0.006,25,54,20,1,25,54,20,0.8447777777777777,0.013518352314449174,0.005047835713073385,0.8423333333333334,0.826,0.8793333333333333,0.8465862207529481,0.01190514928341692,0.6843743641170489,0.02065609600367974,85.11294899474208,6.67974033177375,0.6414358934077123,0.4862047611084427,85.7543848881498,6.365655895822022,0.9925200805271434,0.0074799194728566104,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.005,0.015,25,54,20,1,25,54,20,0.8457111111111112,0.013620677692091026,0.005086044637030942,0.843,0.8273333333333334,0.8773333333333333,0.8474226767472668,0.011799259329712488,0.6860553233287885,0.020427393538801693,86.26534360034081,7.014561698831634,0.701478262230133,0.5594898579386175,86.96682186257094,6.777149517819781,0.9919339554187845,0.008066044581215603,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.008,0.024,25,54,20,1,25,54,20,0.8469555555555558,0.01561380991384047,0.005830292440002491,0.8413333333333334,0.8246666666666667,0.882,0.848376258594868,0.013410157368312506,0.6879985355238153,0.02323905755087105,85.7620717444457,7.532658435397818,0.6754661000333726,0.5178709035115063,86.43753784447908,7.191037797110952,0.9921855004564256,0.007814499543574353,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.01,0.03,25,54,20,1,25,54,20,0.8475111111111112,0.015742110675868407,0.005878200731894463,0.8416666666666667,0.826,0.8833333333333333,0.8489544612510631,0.013611075920527582,0.6887360533802371,0.023602600407836495,86.19373589629929,6.08067665945327,0.6669290368289997,0.6057830870009182,86.86066493312828,5.576594758646412,0.9923218520449684,0.007678147955031783,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.02,0.06,25,54,20,1,25,54,20,0.8451111111111111,0.015082235200600484,0.005631799179933252,0.8403333333333334,0.8246666666666667,0.8793333333333333,0.8467454685646114,0.013001141102148363,0.6859297478820447,0.022887839829160112,85.96887423225368,7.24222872828249,0.7376676188316196,0.638579812582768,86.7065418510853,6.823230048863714,0.991492364900234,0.00850763509976596,30,6
UNSW_NB15,6q_5k,QSVC,linear,3,L3,qiskit_heavy,0.05,0.15000000000000002,25,54,20,1,25,54,20,0.8566666666666669,0.018567883119109296,0.00693336150328254,0.864,0.8053333333333333,0.8746666666666667,0.8521503432630314,0.015514324227753977,0.6946526794496887,0.033198606407876995,85.52384876829261,7.340696574894084,0.6865608705828588,0.5966168242138746,86.21040963887548,6.843392918575613,0.9920362184397594,0.007963781560240527,30,6
UNSW_NB15,6q_5k,QVE,linear,0,L0,baseline_unoptimized,0.0,0.0,25,54,20,2,27,66,20,0.8798444444444443,0.010769167473464233,0.004021273222367266,0.882,0.8566666666666667,0.898,0.8757314517570671,0.011617866929490123,0.7398730740748017,0.023847654047565846,257.09590757343295,8.821198052707025,4.309840659284964,0.6562729126671233,261.40574823271794,8.302933696588632,0.9835128313419943,0.016487168658005577,30,6
