status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,8,5120,2,0.998,0.997990503452285,0.9883629768056863,856.6208376180002,10.60675978398649,867.2275974019867
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.002,6,9,6144,0,0.996,0.996,0.976810219993713,833.4635381999979,6.570731396990595,840.0342695969885
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,0,42,1,0.994,0.9940639146896366,0.9662993779870109,854.5190262680117,9.752328221977223,864.2713544899889
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,1,123,2,0.9893333333333333,0.9895244122756032,0.941338822570379,866.5146707030071,7.3911128449835815,873.9057835479907
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,2,456,0,0.996,0.9960124139626352,0.976983222161292,806.0145322030003,8.57014087997959,814.5846730829799
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,3,789,1,0.994,0.9940460092931921,0.9659258574367079,860.8207975369878,10.93510806300037,871.7559055999882
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,4,1024,2,0.992,0.9920970179646138,0.9551873937472581,852.999504449981,10.664509607988293,863.6640140579693
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,5,2048,0,0.99,0.9900766821553204,0.9430890511653499,802.68143985598,7.326354321994586,810.0077941779746
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,6,3072,1,0.9953333333333333,0.9953549727135846,0.9732609961997113,855.278241847991,8.759377644964843,864.0376194929559
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,7,4096,2,0.9946666666666667,0.9947313453097425,0.9702766857756814,841.0524800929852,9.324203310985467,850.3766834039707
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,8,5120,0,0.998,0.9979968595521955,0.9883761554482334,784.106435988986,8.6508754069946,792.7573113959807
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.01,6,9,6144,1,0.992,0.9920733291515753,0.9547222368707855,859.0885370239848,6.7820077710202895,865.8705447950051
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,0,42,2,0.9866666666666667,0.9870529038143345,0.9297153391356787,865.953356544007,8.437745575982262,874.3911021199892
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,1,123,0,0.986,0.9864242413979541,0.9265298167372109,866.0528535789781,8.647916893009096,874.7007704719872
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,2,456,1,0.9906666666666667,0.9908602469135802,0.9494372681609102,811.2180198879942,9.501677849999396,820.7196977379936
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,3,789,2,0.9873333333333333,0.9876487479671214,0.9320891928349727,850.4742315909825,9.308576112016453,859.782807702999
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,4,1024,0,0.9893333333333333,0.9895842656730438,0.9427443139024599,875.5336383599933,8.267629158988711,883.8012675189821
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,5,2048,1,0.9846666666666667,0.9850061180938595,0.9164961873507719,869.7776657809882,9.101378175997525,878.8790439569857
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,6,3072,2,0.9913333333333333,0.9915008826575236,0.9528300165982294,875.4347076099948,8.57697347298381,884.0116810829786
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,7,4096,0,0.9886666666666667,0.9889488797600561,0.9394431471230669,848.3310049220017,10.061523721960839,858.3925286439626
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,8,5120,1,0.9853333333333333,0.9857972121984009,0.9233721161313739,860.3689797559782,7.717146294991835,868.08612605097
success,UNSW_2018_IoT_Botnet_Final_10_Best,QWE,4map,4,full,0,0.05,6,9,6144,2,0.9893333333333333,0.9895545679012345,0.9420216820227821,854.326286437019,6.901118474983377,861.2274049120024
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,0,42,0,0.89,0.8859594492695528,0.7638557540933594,382.6981009510055,5.22392438800307,387.92202533900854
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,1,123,1,0.884,0.8801165220478272,0.7487178654543052,398.0639981719869,1.217050470993854,399.28104864298075
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,2,456,2,0.8833333333333333,0.878497157257429,0.7498196471162395,398.4992721960007,1.4098619880096521,399.9091341840103
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,3,789,0,0.8833333333333333,0.8787654320987656,0.7488815358919463,375.2216191350017,5.346495411999058,380.56811454700073
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,4,1024,1,0.888,0.883400619706672,0.7606541546675857,395.4458865560009,1.3867139230133034,396.8326004790142
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,5,2048,2,0.8873333333333333,0.886459733048512,0.7531938353623014,395.2555695549963,1.4973161419911776,396.7528856969875
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,6,3072,0,0.89,0.8857761094460369,0.7642116339134922,381.86664330100757,5.354070868008421,387.220714169016
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,7,4096,1,0.8946666666666667,0.8910478585746642,0.7734800703161994,398.8530234229984,1.4062760870001512,400.2592995099985
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,8,5120,2,0.896,0.8925014705882354,0.776301918617425,398.06709501599835,2.0503105520037934,400.11740556800214
success,UNSW_NB15,QVE,2map,2,full,0,0.0,6,9,6144,0,0.8933333333333333,0.8885552447126733,0.7753948996470835,160.44923587300582,2.6449448710191064,163.09418074402492
success,UNSW_NB15,QVE,2map,2,full,0,0.002,6,0,42,1,0.8953333333333333,0.8912546953120003,0.7772848793124748,304.01529332701466,1.2697190010076156,305.2850123280223
