status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,2,456,2,0.7086666666666667,0.7692686009281069,0.3961658942006968,225.90929741598663,0.844118817942217,226.75341623392887
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,3,789,0,0.736,0.7904606751649478,0.4172721549281851,226.4523637780221,0.848021344980225,227.30038512300237
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,4,1024,1,0.7386666666666667,0.792395337995338,0.4092274369408646,220.4827761009801,1.0184569649863988,221.5012330659665
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,5,2048,2,0.7526666666666667,0.8029551563982621,0.4159111741664639,228.91017422801812,0.0610731610795483,228.9712473890977
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,6,3072,0,0.7713333333333333,0.8168861242390467,0.4283805662815863,224.38353790401013,2.5265329210087657,226.9100708250189
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,7,4096,1,0.858,0.879477191670881,0.4968213676975355,227.24337260297037,0.8346065849764273,228.0779791879468
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,8,5120,2,0.8226666666666667,0.8549496479177199,0.4872138322101126,229.6498390890192,0.060077793081291,229.7099168821005
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.01,6,9,6144,0,0.724,0.7811247839805272,0.3955536525747701,227.82889217301272,1.0007278789998963,228.8296200520126
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,0,42,1,0.906,0.8613179433368311,0.0,229.13342219800688,0.288502159062773,229.42192435706968
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,1,123,2,0.906,0.8613179433368311,0.0,228.62768506398425,0.4235081690130755,229.0511932329973
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,2,456,0,0.906,0.8613179433368311,0.0,225.8196519110352,0.1778468410484492,225.99749875208363
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,3,789,1,0.906,0.8613179433368311,0.0,226.20875089697077,0.2759776470484212,226.4847285440192
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,4,1024,2,0.906,0.8613179433368311,0.0,225.693353684037,0.2810447190422565,225.97439840307925
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,5,2048,0,0.906,0.8613179433368311,0.0,222.32456195401028,1.6720287129282951,223.99659066693857
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,6,3072,1,0.906,0.8613179433368311,0.0,228.36833861400373,0.1112594639416784,228.4795980779454
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,7,4096,2,0.906,0.8613179433368311,0.0,228.57961265800984,0.1100105929654091,228.68962325097527
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,8,5120,0,0.906,0.8613179433368311,0.0,152.22993318201043,0.0609553100075572,152.29088849201798
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.05,6,9,6144,1,0.906,0.8613179433368311,0.0,149.49418211902957,0.8711044989759102,150.36528661800548
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,0,42,2,0.99,0.9901933261432964,0.9453934686415124,39.44106105109677,0.0510443580569699,39.49210540915374
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,1,123,0,0.9866666666666668,0.9870529038143344,0.9297153391356788,114.84076097700743,0.2276123169576749,115.06837329396512
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,2,456,1,0.99,0.990164837423439,0.9447523025231932,114.8404462749604,0.0874270920176059,114.92787336697802
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,3,789,2,0.9893333333333332,0.9895545679012344,0.942021682022782,107.00569045590235,4.43011056096293,111.4358010168653
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,4,1024,0,0.9893333333333332,0.9895545679012344,0.942021682022782,113.251422181027,0.1133507289923727,113.36477291001938
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,5,2048,1,0.9873333333333332,0.9875421274030226,0.9297940651153168,109.35353148006834,3.744241593987681,113.09777307405602
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,6,3072,2,0.9913333333333332,0.991476192433647,0.9522314212271312,113.11456886504313,0.2425931429024785,113.3571620079456
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,7,4096,0,0.99,0.9902213813655606,0.9460755291907588,115.1076813749969,0.2633827968966216,115.37106417189352
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,8,5120,1,0.9893333333333332,0.9895545679012344,0.942021682022782,113.10051148606,2.092377802007832,115.19288928806782
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.0,6,9,6144,2,0.9893333333333332,0.9895244122756032,0.941338822570379,115.10633880400565,0.273174139088951,115.3795129430946
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,0,42,0,0.99,0.9901933261432964,0.9453934686415124,39.17851320595946,1.3382486330810934,40.51676183904056
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,1,123,1,0.986,0.98638671492442,0.9256152310053072,43.36065130995121,0.2359670769656077,43.596618386916816
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,2,456,2,0.99,0.990164837423439,0.9447523025231932,43.31760383897927,0.092998418956995,43.41060225793626
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,3,789,0,0.9893333333333332,0.9895545679012344,0.942021682022782,41.79924696602393,0.9226737320423126,42.72192069806624
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,4,1024,1,0.9893333333333332,0.9895545679012344,0.942021682022782,40.56956053199247,1.0800971110584214,41.64965764305089
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,5,2048,2,0.9866666666666668,0.986905515344504,0.9264233739332484,42.96443924901541,0.0467192120850086,43.01115846110042
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,full,0,0.002,6,6,3072,0,0.9913333333333332,0.991476192433647,0.9522314212271312,42.31223987403792,0.2263366460101679,42.53857652004808
