dataset,model,noise_level,num_qubits,comparison,mean_a,mean_b,mean_diff,t_stat,p_value,cohens_d,paired_runs,p_value_holm,significant_holm
UNSW_NB15,QWE,0.0,6,3map_vs_2map,0.8580666666666668,0.8756666666666668,0.017599999999999994,5.665241848916343,0.0003075785449567246,1.126302914092151,10,0.017531977062533302,True
UNSW_NB15,QWE,0.0,6,4map_vs_2map,0.8580666666666668,0.8896,0.03153333333333329,4.168825907868653,0.0024158266981946165,2.1757125622865536,10,0.11837550821153621,False
UNSW_NB15,QWE,0.0,6,4map_vs_3map,0.8756666666666668,0.8896,0.013933333333333298,2.607773167662097,0.028374187759425837,1.4973414519622985,10,1.0,False
UNSW_NB15,QWE,0.002,6,3map_vs_2map,0.8587999999999999,0.8740666666666668,0.01526666666666664,4.721788885894936,0.0010863549084751442,0.8781569762006567,10,0.05757681014918264,False
UNSW_NB15,QWE,0.002,6,4map_vs_2map,0.8587999999999999,0.8879333333333334,0.029133333333333324,3.588066076683984,0.005856452155505289,1.868239907868714,10,0.263540346997738,False
UNSW_NB15,QWE,0.002,6,4map_vs_3map,0.8740666666666668,0.8879333333333334,0.013866666666666683,2.3742202196751405,0.04162010292803149,1.3568744697409665,10,1.0,False
UNSW_NB15,QWE,0.01,6,3map_vs_2map,0.8380000000000001,0.8613333333333333,0.023333333333333338,5.9123271155586234,0.00022559994683445155,1.5356720906669734,10,0.01308479691639819,True
UNSW_NB15,QWE,0.01,6,4map_vs_2map,0.8380000000000001,0.8688666666666667,0.030866666666666664,8.72550097306562,1.0992392583452438e-05,3.6666438609285277,10,0.0006815283401740512,True
UNSW_NB15,QWE,0.01,6,4map_vs_3map,0.8613333333333333,0.8688666666666667,0.007533333333333325,1.064475705603316,0.3148374763003395,0.5209807865102595,10,1.0,False
UNSW_NB15,QWE,0.05,6,3map_vs_2map,0.6414,0.8221333333333334,0.18073333333333336,22.60833249876956,3.0721285850488674e-09,9.192178071947039,10,2.0276048661322524e-07,True
UNSW_NB15,QWE,0.05,6,4map_vs_2map,0.6414,0.6978,0.056399999999999985,3.539835025600184,0.006315738743449275,1.6792304270036467,10,0.2778925047117681,False
UNSW_NB15,QWE,0.05,6,4map_vs_3map,0.8221333333333334,0.6978,-0.12433333333333338,-9.089153986773983,7.876024253058579e-06,-3.2515416466797125,10,0.0004961895279426904,True
