status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,error,zz_reps,layout
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeSherbrooke,full,0,6.0,0,42,1.0,524.0,225.0,0.0309244791666666,0.996,0.979020979020979,0.9959615546218488,0.9766394448969592,0.9988095912930106,0.9787961779869996,835.8355672199978,0.0523536680266261,835.8879208880244,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeSherbrooke,full,0,6.0,1,123,2.0,524.0,225.0,0.0309244791666666,0.9966666666666668,0.9887735698347342,0.9966614325869924,0.9806219150789104,0.9981654307372804,0.9887254721995096,824.7392383369152,1.3506444910308346,826.089882827946,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeSherbrooke,full,0,6.0,2,456,0.0,524.0,225.0,0.0309244791666666,0.9966666666666668,0.9825174825174824,0.9966400755284308,0.9805571131969576,0.9993146131687032,0.9823619317924353,1062.8161107389024,0.0515871939714998,1062.867697932874,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeSherbrooke,full,0,6.0,3,789,1.0,524.0,225.0,0.0309244791666666,0.9966666666666668,0.9825174825174824,0.9966400755284308,0.9805571131969576,0.9952538250253798,0.9823619317924353,1054.305145906983,0.8532329440349713,1055.158378851018,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeSherbrooke,full,0,6.0,4,1024,2.0,524.0,225.0,0.0309244791666666,0.994,0.9810436431659718,0.9939905786565862,0.9651134343402644,0.9985158540795976,0.980913019600036,1040.2044622909743,0.8326913670171052,1041.0371536579914,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QVE,ideal,full,0,6.0,0,42,0.0,181.0,225.0,,0.9953333333333332,0.9880366501589788,0.995340603358116,0.9730368435381364,0.9998608613199624,0.9879955160481791,489.77649829001166,1.3143660800997168,491.0908643701114,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QVE,ideal,full,0,6.0,1,123,1.0,181.0,225.0,,0.994,0.9904277741418492,0.994046009293192,0.965925857436708,0.9993249197375949,0.9904179391882704,472.2895376819652,5.556873400928453,477.8464110828936,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QVE,ideal,full,0,6.0,2,456,2.0,181.0,225.0,,0.996,0.9884051099968564,0.996,0.976810219993713,0.9998402481821788,0.9883605615127132,489.0992677970789,1.7934075519442558,490.8926753490232,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QVE,ideal,full,0,6.0,3,789,0.0,181.0,225.0,,0.996,0.9915331536554824,0.9960124139626352,0.976983222161292,0.9997474890621536,0.9915177928744048,401.4021259871079,2.631838117958978,404.0339641050669,,3,best_healthy_path
success,UNSW_2018_IoT_Botnet_Final_10_Best,QVE,ideal,full,0,6.0,4,1024,1.0,181.0,225.0,,0.9946666666666668,0.9907962339797268,0.9946995122365015,0.9695754135797602,0.999288846746474,0.9907846927424768,400.3072348899441,2.8105218099663034,403.1177566999104,,3,best_healthy_path
