status,dataset,model,feature_regime,num_qubits,run_idx,seed,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,training_time
success,IoT_Original_Distribution,RandomForest,quantum_features,6,24,21504,0.9853333333333333,0.9346985424201149,0.9849878280631978,0.9113817656201875,0.9860400064711746,0.9326161217030536,0.5808820760576054
success,IoT_Original_Distribution,RandomForest,quantum_features,6,25,22528,0.986,0.9414228234152145,0.9857440826222112,0.9157398314668248,0.9851632666906727,0.9398208031130197,0.5839544839691371
success,IoT_Original_Distribution,RandomForest,quantum_features,6,26,23552,0.982,0.9265025910791728,0.9816078972121001,0.8910229982357541,0.9742588156706797,0.9239782457623649,0.7155395899899304
success,IoT_Original_Distribution,RandomForest,quantum_features,6,27,24576,0.9766666666666667,0.8917774333442926,0.9756381081805686,0.8560352675043535,0.972218308205345,0.8856284040521923,0.5809401359874755
success,IoT_Original_Distribution,RandomForest,quantum_features,6,28,25600,0.9833333333333333,0.9335947896607331,0.9830286697883469,0.8995004303058597,0.9801454970540499,0.9315831332505128,0.5888100740266964
success,IoT_Original_Distribution,RandomForest,quantum_features,6,29,26624,0.982,0.9201462276705337,0.9814785830085199,0.8904913175332501,0.9874568805807358,0.9169877377313883,0.590086423093453
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,0,42,0.978,0.9179387221517699,0.9775978441206178,0.8670216279839293,0.9801324503311258,0.9149537513353319,1.9598102630116045
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,1,123,0.9853333333333333,0.960123996054671,0.985379576427638,0.9144631735943715,0.9941498494408175,0.9596219228475871,0.4512387509457767
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,2,456,0.9853333333333333,0.960123996054671,0.985379576427638,0.9144631735943715,0.9880074522881342,0.9596219228475871,0.44902013696264476
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,3,789,0.9786666666666667,0.9246630031468696,0.97838653464074,0.8719340331288976,0.975117290039088,0.9222681235380827,0.43574668501969427
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,4,1024,0.9826666666666667,0.9395832354829114,0.9824973504437209,0.896514238961511,0.9742118474681529,0.9380839308041512,0.4457689670380205
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,5,2048,0.9786666666666667,0.908772094625272,0.9780095693779906,0.8695829080467179,0.9639336391485187,0.9046863875704296,0.41997144697234035
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,6,3072,0.9766666666666667,0.9076683418658902,0.976075268154105,0.8577833821072708,0.967537144020165,0.9036821100498748,0.4290093530435115
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,7,4096,0.9853333333333333,0.9315203607157954,0.9849351469383041,0.9112640070319885,0.9793026787531507,0.9291599360251501,0.434512997046113
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,8,5120,0.98,0.9253988383197909,0.979669009832672,0.8794440360026416,0.9832062582520522,0.922952552666448,0.43428607599344105
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,9,6144,0.982,0.9392153178964507,0.9818540710169158,0.8927916483667973,0.9813431862184856,0.9377361702988537,0.435722345020622
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,10,7168,0.9786666666666667,0.9055939129209525,0.9779303330563904,0.8692924159274451,0.9680381381804518,0.9011115032848993,0.44383693498093635
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,11,8192,0.9846666666666667,0.9502215333552518,0.9845926821653963,0.9091749181402492,0.979271366618133,0.9492741944783702,0.4351815909612924
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,12,9216,0.9806666666666667,0.9257667559062515,0.9803132569544825,0.8832610291448945,0.9735047150856648,0.9232945769704491,0.44359763292595744
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,13,10240,0.974,0.9093748532243671,0.9736143328618576,0.8434132659271271,0.9759366242387237,0.9058854422882674,0.4369765919400379
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,14,11264,0.98,0.9158642932068324,0.9794570185522328,0.8782022743505559,0.981066595692494,0.9124520783964377,0.43640248791780323
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,15,12288,0.9806666666666667,0.922588574201932,0.9802455192278112,0.8828460747514674,0.9794618487728253,0.9198118765184357,0.4394716980168596
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,16,13312,0.9826666666666667,0.930048690369953,0.9823195767195768,0.8952685476949278,0.9674040674463389,0.9277884814975177,0.42439280403777957
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,17,14336,0.9826666666666667,0.930048690369953,0.9823195767195768,0.8952685476949278,0.9858469149718974,0.9277884814975177,0.4266574380453676
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,18,15360,0.9853333333333333,0.9410549058287538,0.9850906072106261,0.911810450665161,0.9831018844686592,0.9394736855377028,0.4501465340144932
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,19,16384,0.9813333333333333,0.9197783100840731,0.9808265506487506,0.8864677075209141,0.9802081213240857,0.9166490534215047,0.971760951098986
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,20,17408,0.9786666666666667,0.9183066397382306,0.9782394790394792,0.8708241327916314,0.977470918854602,0.9152930629551308,0.4321517220232636
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,21,18432,0.9826666666666667,0.9427614171872309,0.9825547021603878,0.8970379935249326,0.9835506917372494,0.9414796429490415,0.43544961197767407
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,22,19456,0.9793333333333333,0.9345654658462887,0.9792336150924904,0.8775591404812358,0.978499000621024,0.9329378219983125,0.43575689499266446
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,23,20480,0.988,0.945704757878916,0.9877597069597069,0.9278611008993229,0.9880648578690004,0.9442692183749645,0.43415274505969137
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,24,21504,0.9806666666666667,0.9321231193148904,0.9804454378648874,0.8842580739043723,0.9879709214639467,0.9302040308907356,0.4351555840112269
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,25,22528,0.982,0.9455716813050898,0.9819712815707051,0.8939914996614826,0.9873081479394006,0.9445068364173214,0.4334282649215311
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,26,23552,0.978,0.9147605404474504,0.9775207632592334,0.866492227782894,0.980792614511087,0.9114391803098665,0.4288227700162679
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,27,24576,0.978,0.8956914502215334,0.977030216284536,0.8645874101224836,0.9656505878853349,0.8899372272170362,0.4283790390472859
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,28,25600,0.984,0.9466754340644716,0.9838966481480503,0.9049678214410315,0.9860504438495139,0.9455588213393681,1.1292925209272653
success,IoT_Original_Distribution,GradientBoost,quantum_features,6,29,26624,0.9806666666666667,0.9194103924976125,0.9801766507562584,0.8824900734771565,0.9848788481309265,0.9163102439279787,0.43886245298199356
success,IoT_Original_Distribution,MLP,quantum_features,6,0,42,0.9566666666666667,0.8330671801856809,0.9547564866210559,0.7277531282324016,0.9489142517182534,0.8190428441931782,0.4368427370209247
success,IoT_Original_Distribution,MLP,quantum_features,6,1,123,0.9633333333333334,0.8335681743459677,0.9608108448461055,0.7664335539013728,0.9829140116585516,0.8181056692189417,0.3797771279932931
success,IoT_Original_Distribution,MLP,quantum_features,6,2,456,0.96,0.8444413132309427,0.9583145895883162,0.7496533667818801,0.9700551615445232,0.8323628748773843,0.49491249897982925
success,IoT_Original_Distribution,MLP,quantum_features,6,3,789,0.96,0.8380849498223036,0.9579992085839961,0.7476488441497657,0.9673988487571693,0.8245264439786294,0.38635873899329454
success,IoT_Original_Distribution,MLP,quantum_features,6,4,1024,0.9726666666666667,0.9213517448687238,0.9727099287173678,0.8400401037968195,0.9746945762163459,0.9191818858031867,0.4484863260295242
success,IoT_Original_Distribution,MLP,quantum_features,6,5,2048,0.9633333333333334,0.8558154462762044,0.9618591135044985,0.7713989661309025,0.9546052322577615,0.845510115015943,0.45167902600951493
success,IoT_Original_Distribution,MLP,quantum_features,6,6,3072,0.9746666666666667,0.9033864074021887,0.9740698848364328,0.8457332618568706,0.9640432316210814,0.8991112533081262,0.4598879830446094
success,IoT_Original_Distribution,MLP,quantum_features,6,7,4096,0.956,0.8263428991905812,0.9537991294423958,0.7216822029627818,0.9444992406807259,0.8107688251343067,0.33503815007861704
success,IoT_Original_Distribution,MLP,quantum_features,6,8,5120,0.9606666666666667,0.8765910478605984,0.9603477848147416,0.7654954840598467,0.9654261842510398,0.8704545037874054,0.6049451429862529
success,IoT_Original_Distribution,MLP,quantum_features,6,9,6144,0.9706666666666667,0.8916443567704664,0.9699756561263957,0.8211150729456268,0.974558890297935,0.8863175747607245,0.4588914199266583
success,IoT_Original_Distribution,MLP,quantum_features,6,10,7168,0.9666666666666667,0.8512986707998684,0.9647272727272727,0.7898579122330711,0.9590593834640615,0.839358706336772,0.644921116065234
success,IoT_Original_Distribution,MLP,quantum_features,6,11,8192,0.9646666666666667,0.8787985533793622,0.9640207799512953,0.7858246221791036,0.9608963620517799,0.872412784111244,0.4760970859788358
success,IoT_Original_Distribution,MLP,quantum_features,6,12,9216,0.9566666666666667,0.7790380912122493,0.9513945590864097,0.7164200491677266,0.9180874547931048,0.7476943617615786,0.2883885350311175
success,IoT_Original_Distribution,MLP,quantum_features,6,13,10240,0.9586666666666667,0.8437054780580213,0.957083885457608,0.7422759926667052,0.952843924663003,0.8317419401584559,0.3644494969630614
success,IoT_Original_Distribution,MLP,quantum_features,6,14,11264,0.966,0.8350398446918104,0.96336051158111,0.7839380082855353,0.9684269305235911,0.8193167811613778,0.2862319180276245
success,IoT_Original_Distribution,MLP,quantum_features,6,15,12288,0.9553333333333334,0.8259749816041206,0.953188299582128,0.7179587769121117,0.9627698714636856,0.810466242990858,0.31620783696416765
success,IoT_Original_Distribution,MLP,quantum_features,6,16,13312,0.9553333333333334,0.8100840730825232,0.9522604837216195,0.7124745596813381,0.9555628617203931,0.7900877949426739,0.42260829894803464
success,IoT_Original_Distribution,MLP,quantum_features,6,17,14336,0.968,0.8679254144943873,0.966651671670653,0.8007649347086463,0.9761349344271706,0.8591305504462434,0.487063392996788
success,IoT_Original_Distribution,MLP,quantum_features,6,18,15360,0.9646666666666667,0.8597294631534451,0.9632460548316076,0.7798844565842279,0.9776901037997277,0.8499609280041014,0.45440108503680676
success,IoT_Original_Distribution,MLP,quantum_features,6,19,16384,0.9533333333333334,0.8598312275922533,0.9531838235294117,0.7242886307607067,0.9552940992281558,0.8520857531540846,0.34740494994912297
success,IoT_Original_Distribution,MLP,quantum_features,6,20,17408,0.948,0.767898799179622,0.9428662049033287,0.6550038528369604,0.9395310485912148,0.7351690580099617,0.30338043498340994
success,IoT_Original_Distribution,MLP,quantum_features,6,21,18432,0.966,0.882712570256603,0.9653784863682277,0.7939443227595862,0.9720800129423491,0.87673298546273,0.6219637099420652
