dataset,map,map_type,entanglement,noise_level,num_qubits,n_runs,offdiag_var_mean,offdiag_var_ci95,offdiag_mean_mean,offdiag_mean_ci95,kta_mean,kta_ci95
UNSW-NB15,Z-linear,Z,linear,0.02,10,5,0.09269666737963059,0.003106891565873261,0.38767807614624206,0.04998982190329289,0.175265983147689,0.027778441725754263
UNSW-NB15,Z-linear,Z,linear,0.05,10,5,0.09108038609129925,0.0025381063529906676,0.4206316797050375,0.03725676161833819,0.1661395734717087,0.0229316840760858
UNSW-NB15,ZZ-full,ZZ,full,0.0,10,5,0.013525249655274874,0.0020086489362261847,0.026202464604179604,0.0027144802647083564,0.16190095680964117,0.008245416517853574
UNSW-NB15,ZZ-full,ZZ,full,0.002,10,5,0.00023962116580335287,4.323977455560837e-05,0.967671467830192,0.002491455723875273,0.07787625153152253,0.0007710521910433343
UNSW-NB15,ZZ-full,ZZ,full,0.005,10,5,8.749926525411796e-06,2.4743625241295448e-06,0.9961203692532192,0.0005921488578297559,0.07643587334499355,4.105250957437399e-05
UNSW-NB15,ZZ-full,ZZ,full,0.01,10,5,2.857764556329729e-08,3.666571388887155e-09,0.999726758919625,1.015142363408199e-05,0.07629132383264085,5.566082296573149e-06
UNSW-NB15,ZZ-full,ZZ,full,0.02,10,5,2.1034836898781838e-12,1.016800125751125e-13,0.999996403825867,3.9276837514388726e-07,0.0762813478641362,3.3233421858155564e-08
UNSW-NB15,ZZ-full,ZZ,full,0.05,10,5,2.5453153649515626e-16,6.4430220366480236e-18,0.9999999978290605,6.084095451663728e-11,0.0762811788528489,2.598825353023726e-10
UNSW-NB15,ZZ-linear,ZZ,linear,0.0,10,5,0.04101623460395408,0.0052573541922595795,0.0756293335971826,0.009888232010615474,0.21498147268790513,0.017823841685416543
UNSW-NB15,ZZ-linear,ZZ,linear,0.002,10,5,0.04407459071905868,0.0031809263707869304,0.08598425830247294,0.009176928993270475,0.23488341327268625,0.029162328182806507
UNSW-NB15,ZZ-linear,ZZ,linear,0.005,10,5,0.039977342221463395,0.004793403188159218,0.08937232537418063,0.012279767868600171,0.21952725703159953,0.021205688322495374
UNSW-NB15,ZZ-linear,ZZ,linear,0.01,10,5,0.041368559269727226,0.0025844156103948376,0.11231903658124912,0.006174500332339688,0.2285996419092074,0.0210844355331511
UNSW-NB15,ZZ-linear,ZZ,linear,0.02,10,5,0.04315274229764303,0.010093499492385926,0.21802686496526308,0.023006801893143608,0.22130295859461585,0.037615553341782376
UNSW-NB15,ZZ-linear,ZZ,linear,0.05,10,5,0.006603001852527277,0.0010465490694050678,0.7940020075649387,0.003156366496695501,0.09936275122612319,0.006257264377551222
