dataset,model,entanglement,noise_level,n,mean_delta_pp,ci90_lo,ci90_hi,p_t,p_wilcoxon,shapiro_W,shapiro_p,p_tost_1pp,p_tost_0p5pp,p_t_holm,p_wilcoxon_holm,sig_t_holm,sig_w_holm,equiv_1pp,equiv_0p5pp
UNSW-2018,QVE,full,0.001,30,0.004444444444443955,-0.003107231229038723,0.011996120117926633,0.3255819880162757,0.4496917979688909,0.49553339897830684,4.808123108984455e-09,8.128775784126303e-49,4.848069001577397e-40,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.002,30,0.004444444444443955,-0.0031072312290361193,0.01199612011792403,0.3255819880161117,0.25683925795785656,0.4955333989783065,4.8081231089844374e-09,8.128775784045094e-49,4.84806900152896e-40,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.005,30,0.008888888888886429,-9.028245867186493e-05,0.017868060236444723,0.10329970911253414,0.2382692693463746,0.5856437124977956,4.897489987583207e-08,1.3978817310486293e-46,9.405867869333636e-38,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.008,30,0.011111111111110628,-0.013228176272620188,0.03545039849484144,0.44422533876971604,0.25432069949702585,0.8430921433912522,0.0004459179930981527,5.021905768660936e-34,2.885046986409909e-25,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.01,30,0.0022222222222227175,-0.02519466072377339,0.029639105168218827,0.8914139379342618,0.8639417715305239,0.8885522933034222,0.00445842769326157,1.1986349483668432e-32,5.008952074824894e-24,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.02,30,-0.08666666666666822,-0.1491010093955672,-0.024232323937769237,0.02529679266644927,0.04671940151308253,0.9559788710107262,0.2436669446547572,2.107011610009069e-21,2.142614435253796e-12,1.0,1.0,False,False,True,True
UNSW-2018,QVE,full,0.05,30,0.004444444444444695,-0.004857434196005204,0.013746323084894594,0.4234950884932944,0.31731050786291415,0.6159823293087092,1.1502053406105089e-07,3.415839678121102e-46,2.011547545260361e-37,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.0,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.0003,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.0005,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.001,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.002,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.005,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.008,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QVE,linear,0.01,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
