dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
IoT,6,3072,1.0,0.9600443951165372,0.7771733803809812,0.9610437275434324,54.73659625486471
IoT,6,3072,2.0,0.9633740288568258,0.7919590832526853,0.9640277585445933,54.73659625486471
IoT,6,3072,5.0,0.9678135405105438,0.8127875905619136,0.9680662765935336,54.73659625486471
IoT,6,3072,10.0,0.9700332963374029,0.8237208983021039,0.9701127798707444,54.73659625486471
IoT,6,3072,50.0,0.9689234184239733,0.8124779594823889,0.9685823802658755,54.73659625486471
IoT,6,3072,100.0,0.9678135405105438,0.8048682532735392,0.9673689778170113,54.73659625486471
IoT,6,4096,0.01,0.9400665926748057,0.6199452950388208,0.9375969183989937,54.765687050065026
IoT,6,4096,0.1,0.9433962264150944,0.6779463325985403,0.9444065359325532,54.765687050065026
IoT,6,4096,0.5,0.9556048834628191,0.7521984997488541,0.956715252826036,54.765687050065026
IoT,6,4096,1.0,0.9544950055493896,0.7323058659150024,0.9546157027666861,54.765687050065026
IoT,6,4096,2.0,0.9578246392896781,0.7479265272572556,0.9575963504120005,54.765687050065026
IoT,6,4096,5.0,0.9600443951165372,0.7587973375352134,0.9596059174846971,54.765687050065026
IoT,6,4096,10.0,0.9622641509433962,0.7680068630594661,0.9614126812676672,54.765687050065026
IoT,6,4096,50.0,0.9689234184239733,0.8077725746916294,0.9680344974489284,54.765687050065026
IoT,6,4096,100.0,0.9667036625971143,0.7954776022014332,0.9659523658244122,54.765687050065026
IoT,6,5120,0.01,0.9600443951165372,0.7422270013223948,0.9572994469119416,55.42568981903605
IoT,6,5120,0.1,0.9589345172031076,0.7666229164406531,0.9596674868530288,55.42568981903605
IoT,6,5120,0.5,0.9655937846836848,0.8096805612196815,0.9665343635897116,55.42568981903605
IoT,6,5120,1.0,0.9644839067702553,0.8047991210078024,0.9655363976547042,55.42568981903605
IoT,6,5120,2.0,0.9667036625971143,0.8146357013291718,0.967536439619527,55.42568981903605
IoT,6,5120,5.0,0.9700332963374029,0.8299633334707336,0.97056816608194,55.42568981903605
IoT,6,5120,10.0,0.9678135405105438,0.8221098075763608,0.9686934369065044,55.42568981903605
IoT,6,5120,50.0,0.9700332963374029,0.8322131314659239,0.9707121769669221,55.42568981903605
IoT,6,5120,100.0,0.9678135405105438,0.8221098075763608,0.9686934369065044,55.42568981903605
IoT,6,6144,0.01,0.9378468368479467,0.6245957826672746,0.9371647605317512,51.84415010479279
IoT,6,6144,0.1,0.9378468368479467,0.6808290524485977,0.9412681561549969,51.84415010479279
IoT,6,6144,0.5,0.9544950055493896,0.7539607440491082,0.9561491629434264,51.84415010479279
IoT,6,6144,1.0,0.951165371809101,0.7373643635662622,0.9530471597605642,51.84415010479279
IoT,6,6144,2.0,0.9544950055493896,0.7475343294362852,0.9557389970057477,51.84415010479279
IoT,6,6144,5.0,0.9589345172031076,0.7666229164406531,0.9596674868530288,51.84415010479279
IoT,6,6144,10.0,0.9633740288568258,0.7869392726438266,0.9636616250891933,51.84415010479279
IoT,6,6144,50.0,0.9644839067702553,0.7899399661945562,0.9644839067702553,51.84415010479279
IoT,6,6144,100.0,0.9633740288568258,0.7822295561535921,0.9632755708633849,51.84415010479279
UNSW-2018,6,42,0.01,0.9833333333333333,0.9045340337332908,0.982652210175146,52.182930898852646
